"analitico_registro","analitico_humedad","analitico_s","analitico_t","analitico_ph_pasta","analitico_ph_h2o","analitico_ph_kcl","analitico_resistencia_pasta","analitico_base_ca","analitico_base_mg","analitico_base_k","analitico_base_na","analitico_arcilla","analitico_carbono_organico_c","analitico_carbono_organico_n","analitico_limo_2_20","analitico_limo_2_50","analitico_arena_muy_fina","analitico_arena_fina","analitico_arena_media","analitico_arena_gruesa","analitico_arena_muy_gruesa","analitico_arena_total","analitico_gravas","analitico_ca_co3","analitico_agua_15_atm","analitico_agua_util","analitico_conductividad","analitico_h","analitico_saturacion_t","analitico_saturacion_s_h","analitico_densidad_aparente","analitico_profundidad_muestra","analitico_agua_3_atm","analitico_carbono_organico_cn","analitico_base_al","analitico_p_ppm","barnices","co3","color_humedo_hvc","color_seco_hvc","concreciones","consistencia_en_seco","consistencia_en_humedo","consistencia_adhesividad","consistencia_plasticidad","estructura_tipo","estructura_clase","estructura_grado","formaciones_especiales","horizonte","humedad","id","limite_tipo","limite_forma","moteados","perfil_id","perfil_numero","perfil_profundidad_napa","perfil_cobertura_vegetal","perfil_material_original","perfil_modal","perfil_fecha","perfil_vegetacion_o_cultivos","perfil_observaciones","perfil_publico","perfil_capacidad_subclases","perfil_capacidad_clase","perfil_ubicacion_descripcion","perfil_ubicacion_recorrido","perfil_ubicacion_mosaico","perfil_ubicacion_aerofoto","perfil_ubicacion_latitud","perfil_ubicacion_longitud","perfil_paisaje_tipo","perfil_paisaje_forma","perfil_paisaje_simbolo","perfil_humedad_subclases","perfil_humedad_clase","perfil_erosion_clase","perfil_erosion_subclase","perfil_pedregosidad_clase","perfil_pedregosidad_subclase","perfil_serie_nombre","perfil_serie_simbolo","perfil_serie_descripcion","perfil_serie_provincia","perfil_grupo_codigo","perfil_grupo_descripcion","perfil_fase_codigo","perfil_fase_nombre","perfil_sales","perfil_uso_de_la_tierra","perfil_relieve","perfil_permeabilidad","perfil_escurrimiento","perfil_pendiente","perfil_anegamiento","perfil_drenaje","perfil_posicion","ph","profundidad_inferior","profundidad_superior","raices","textura"
"","","5.2","7.0","6.3","6.3","5.8","14224.0","3.6","0.8","0.3","0.4","4.6","0.61","0.06","4.6","11.9","2.8","59.9","20.4","0.4","","","","","","","","1.0","73.0","","","0-20","","10.0","","","","","10YR 3/2","10YR 5/2","","suelto","suelto","no adhesivo","no plástico","masiva","","","","A1","Seco","11274","gradual","suave","","2491","CFI 653","","100.0","","modal","1970-02-21","Paspalum plicatulum, Setaria geniculata, Sporobolus poiretii, Eragrostis bahiensis, Bothriochloa sp.","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVESIONES.
Perfil modal en la publicación Mapa de Suelos de la Provincia de Corrientes Primera Etapa 1970.
Limitantes: Erosión. Exceso de humedad.","true","e w","","Margen izquierdo del Arroyo ""Puesto Solo"". Departamento Goya.","2906","2960-23-4","","-29.251114","-59.333382","","Altillanura parcialmente disceptada cubiertas por acumulación arenosa","","seco fresco húmedo","no uniforme","nula","","","","Puesto Solo","PS","","Corrientes","","Thapto Mollic Udifluvent","","","","agricolo-ganadero","normal","moderada","rápido","0 - 1%","clase 4","clase 3","pie de loma","6.3","20","0","Abundantes","areno franco"
"","","5.3","7.0","6.2","6.2","5.8","19558.0","4.0","0.8","0.2","0.3","6.6","0.57","0.056","7.2","13.3","3.3","58.1","18.5","0.2","","","","","","","","0.7","76.0","","","20-38","","10.0","","","","","10YR 4/2","10YR 6/2","","suelto","suelto","no adhesivo","no plástico","masiva","","","","A2 II","Seco","11275","gradual","suave","","2491","CFI 653","","100.0","","modal","1970-02-21","Paspalum plicatulum, Setaria geniculata, Sporobolus poiretii, Eragrostis bahiensis, Bothriochloa sp.","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVESIONES.
Perfil modal en la publicación Mapa de Suelos de la Provincia de Corrientes Primera Etapa 1970.
Limitantes: Erosión. Exceso de humedad.","true","e w","","Margen izquierdo del Arroyo ""Puesto Solo"". Departamento Goya.","2906","2960-23-4","","-29.251114","-59.333382","","Altillanura parcialmente disceptada cubiertas por acumulación arenosa","","seco fresco húmedo","no uniforme","nula","","","","Puesto Solo","PS","","Corrientes","","Thapto Mollic Udifluvent","","","","agricolo-ganadero","normal","moderada","rápido","0 - 1%","clase 4","clase 3","pie de loma","6.2","38","20","Abundantes","areno franco"
"","","5.3","7.0","6.2","6.2","5.7","20320.0","3.8","1.0","0.2","0.3","5.6","0.42","0.053","8.2","15.3","2.3","56.2","20.2","0.4","","","","","","","","1.2","74.0","","","38-54","","8.0","","","","","10YR 4/2","10YR 5/1","","suelto","suelto","no adhesivo","no plástico","masiva","","","","H3 III","Seco","11276","abrupto","ondulado","","2491","CFI 653","","100.0","","modal","1970-02-21","Paspalum plicatulum, Setaria geniculata, Sporobolus poiretii, Eragrostis bahiensis, Bothriochloa sp.","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVESIONES.
Perfil modal en la publicación Mapa de Suelos de la Provincia de Corrientes Primera Etapa 1970.
Limitantes: Erosión. Exceso de humedad.","true","e w","","Margen izquierdo del Arroyo ""Puesto Solo"". Departamento Goya.","2906","2960-23-4","","-29.251114","-59.333382","","Altillanura parcialmente disceptada cubiertas por acumulación arenosa","","seco fresco húmedo","no uniforme","nula","","","","Puesto Solo","PS","","Corrientes","","Thapto Mollic Udifluvent","","","","agricolo-ganadero","normal","moderada","rápido","0 - 1%","clase 4","clase 3","pie de loma","6.2","54","38","Abundantes","areno franco"
"","","12.1","15.5","5.6","5.8","6.2","9659.0","9.5","1.9","0.2","0.5","28.3","0.99","0.101","3.2","55.6","1.6","11.1","3.4","0.0","","","","","","","","3.5","78.0","","","54-70","","10.0","","","","","10YR 4/2","10YR 6/1","","duro","friable","adhesivo","ligeramente plástico","prismas compuestos irregulares","medios","moderado","Se observan pedazos de carbón.","H4 IV","Húmedo","11277","gradual","suave","","2491","CFI 653","","100.0","","modal","1970-02-21","Paspalum plicatulum, Setaria geniculata, Sporobolus poiretii, Eragrostis bahiensis, Bothriochloa sp.","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVESIONES.
Perfil modal en la publicación Mapa de Suelos de la Provincia de Corrientes Primera Etapa 1970.
Limitantes: Erosión. Exceso de humedad.","true","e w","","Margen izquierdo del Arroyo ""Puesto Solo"". Departamento Goya.","2906","2960-23-4","","-29.251114","-59.333382","","Altillanura parcialmente disceptada cubiertas por acumulación arenosa","","seco fresco húmedo","no uniforme","nula","","","","Puesto Solo","PS","","Corrientes","","Thapto Mollic Udifluvent","","","","agricolo-ganadero","normal","moderada","rápido","0 - 1%","clase 4","clase 3","pie de loma","5.8","70","54","Comunes","franco arcillo limoso"
"","","11.5","13.1","6.6","6.9","5.8","6858.0","9.1","1.5","0.4","0.5","15.7","0.24","0.029","41.5","77.8","4.1","1.8","0.6","0.0","","","","","","","","1.5","88.0","","","70-96","","8.0","","","","","10YR 3/1","10YR 6/1","","duro","friable","adhesivo","ligeramente plástico","prismas compuestos irregulares","medios","moderado","","H5 V","Húmedo","11278","gradual","suave","","2491","CFI 653","","100.0","","modal","1970-02-21","Paspalum plicatulum, Setaria geniculata, Sporobolus poiretii, Eragrostis bahiensis, Bothriochloa sp.","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVESIONES.
Perfil modal en la publicación Mapa de Suelos de la Provincia de Corrientes Primera Etapa 1970.
Limitantes: Erosión. Exceso de humedad.","true","e w","","Margen izquierdo del Arroyo ""Puesto Solo"". Departamento Goya.","2906","2960-23-4","","-29.251114","-59.333382","","Altillanura parcialmente disceptada cubiertas por acumulación arenosa","","seco fresco húmedo","no uniforme","nula","","","","Puesto Solo","PS","","Corrientes","","Thapto Mollic Udifluvent","","","","agricolo-ganadero","normal","moderada","rápido","0 - 1%","clase 4","clase 3","pie de loma","6.9","96","70","Comunes","franco limoso"
"","","16.8","20.0","6.2","6.5","5.5","6096.0","13.5","2.3","0.4","0.6","23.1","0.58","0.07","35.7","67.8","2.0","5.3","1.8","0.0","","","","","","","","3.0","84.0","","","96-106","","8.0","","","","","10YR 5/2","10YR 8/1","","ligeramente duro","muy friable","adhesivo","ligeramente plástico","prismas compuestos irregulares","medios","moderado","","H6 VI","Húmedo","11279","abrupto","ondulado","Escasos, débil, finos.","2491","CFI 653","","100.0","","modal","1970-02-21","Paspalum plicatulum, Setaria geniculata, Sporobolus poiretii, Eragrostis bahiensis, Bothriochloa sp.","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVESIONES.
Perfil modal en la publicación Mapa de Suelos de la Provincia de Corrientes Primera Etapa 1970.
Limitantes: Erosión. Exceso de humedad.","true","e w","","Margen izquierdo del Arroyo ""Puesto Solo"". Departamento Goya.","2906","2960-23-4","","-29.251114","-59.333382","","Altillanura parcialmente disceptada cubiertas por acumulación arenosa","","seco fresco húmedo","no uniforme","nula","","","","Puesto Solo","PS","","Corrientes","","Thapto Mollic Udifluvent","","","","agricolo-ganadero","normal","moderada","rápido","0 - 1%","clase 4","clase 3","pie de loma","6.5","106","96","Escasas","franco limoso"
"","","7.7","8.8","7.6","7.6","6.2","9361.0","6.0","1.1","0.2","0.3","17.8","0.14","0.019","40.7","70.2","2.1","7.4","2.5","0.0","","","","","","","","1.0","88.0","","","106-133","","7.0","","","","","10YR 5/1","10YR 7/0","","duro","friable","adhesivo","ligeramente plástico","prismas compuestos irregulares","medios","moderado","","H7 VII","Fresco","11280","abrupto","ondulado","Escasos, débil, finos.","2491","CFI 653","","100.0","","modal","1970-02-21","Paspalum plicatulum, Setaria geniculata, Sporobolus poiretii, Eragrostis bahiensis, Bothriochloa sp.","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVESIONES.
Perfil modal en la publicación Mapa de Suelos de la Provincia de Corrientes Primera Etapa 1970.
Limitantes: Erosión. Exceso de humedad.","true","e w","","Margen izquierdo del Arroyo ""Puesto Solo"". Departamento Goya.","2906","2960-23-4","","-29.251114","-59.333382","","Altillanura parcialmente disceptada cubiertas por acumulación arenosa","","seco fresco húmedo","no uniforme","nula","","","","Puesto Solo","PS","","Corrientes","","Thapto Mollic Udifluvent","","","","agricolo-ganadero","normal","moderada","rápido","0 - 1%","clase 4","clase 3","pie de loma","7.6","133","106","Escasas","franco limoso"
"","","13.5","14.1","7.0","7.6","6.0","4559.0","10.2","2.3","0.4","0.5","27.0","0.22","0.022","34.6","61.0","1.1","7.3","3.6","0.0","","","","","","","","8.0","96.0","","","133-155","","10.0","","","slck escasos, finos; clsk escasos, finos.","","10YR 3/1","10YR 6/1","","duro","friable","adhesivo","ligeramente plástico","prismas compuestos irregulares","medios","fuerte","Se observan canalículos rellenos con clsk.","H8 VIII","Fresco","11281","gradual","suave","Comunes, débil, medios.","2491","CFI 653","","100.0","","modal","1970-02-21","Paspalum plicatulum, Setaria geniculata, Sporobolus poiretii, Eragrostis bahiensis, Bothriochloa sp.","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVESIONES.
Perfil modal en la publicación Mapa de Suelos de la Provincia de Corrientes Primera Etapa 1970.
Limitantes: Erosión. Exceso de humedad.","true","e w","","Margen izquierdo del Arroyo ""Puesto Solo"". Departamento Goya.","2906","2960-23-4","","-29.251114","-59.333382","","Altillanura parcialmente disceptada cubiertas por acumulación arenosa","","seco fresco húmedo","no uniforme","nula","","","","Puesto Solo","PS","","Corrientes","","Thapto Mollic Udifluvent","","","","agricolo-ganadero","normal","moderada","rápido","0 - 1%","clase 4","clase 3","pie de loma","7.6","155","133","Escasas","franco arcillo limoso"
"","","20.5","21.8","6.8","7.7","5.7","2639.0","16.2","3.0","0.5","0.8","33.4","0.28","0.038","38.2","46.5","1.3","12.5","5.9","0.4","","","","","","","","1.0","94.0","","","155-190","","7.0","","","clsk abundantes, medios; slck escasos, finos.","","10YR 3/2","10YR 5/1","","duro","friable","adhesivo","plástico","prismas compuestos irregulares","medios","fuerte","","H9 IX","","11282","claro","suave","","2491","CFI 653","","100.0","","modal","1970-02-21","Paspalum plicatulum, Setaria geniculata, Sporobolus poiretii, Eragrostis bahiensis, Bothriochloa sp.","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVESIONES.
Perfil modal en la publicación Mapa de Suelos de la Provincia de Corrientes Primera Etapa 1970.
Limitantes: Erosión. Exceso de humedad.","true","e w","","Margen izquierdo del Arroyo ""Puesto Solo"". Departamento Goya.","2906","2960-23-4","","-29.251114","-59.333382","","Altillanura parcialmente disceptada cubiertas por acumulación arenosa","","seco fresco húmedo","no uniforme","nula","","","","Puesto Solo","PS","","Corrientes","","Thapto Mollic Udifluvent","","","","agricolo-ganadero","normal","moderada","rápido","0 - 1%","clase 4","clase 3","pie de loma","7.1","190","155","Escasas","franco arcilloso"
"","","15.8","17.2","6.8","7.0","5.9","2735.0","13.2","1.7","0.4","0.5","22.7","0.15","0.015","6.7","14.5","2.7","43.5","15.9","0.7","","","","","","","","1.0","92.0","","","190 +","","10.0","","","clsk abundantes, medios; slck escasos, finos.","","2.5Y 5/2","2.5YR 7/2","","duro","firme","adhesivo","plástico","prismas compuestos irregulares","medios","fuerte","","H10 X","","11283","","","Abundantes, preciso, medios.","2491","CFI 653","","100.0","","modal","1970-02-21","Paspalum plicatulum, Setaria geniculata, Sporobolus poiretii, Eragrostis bahiensis, Bothriochloa sp.","FICHA PERTENECIENTE A CONVENIO PARCIALMENTE FINANCIADO POR EL CONSEJO FEDERAL DE INVESIONES.
Perfil modal en la publicación Mapa de Suelos de la Provincia de Corrientes Primera Etapa 1970.
Limitantes: Erosión. Exceso de humedad.","true","e w","","Margen izquierdo del Arroyo ""Puesto Solo"". Departamento Goya.","2906","2960-23-4","","-29.251114","-59.333382","","Altillanura parcialmente disceptada cubiertas por acumulación arenosa","","seco fresco húmedo","no uniforme","nula","","","","Puesto Solo","PS","","Corrientes","","Thapto Mollic Udifluvent","","","","agricolo-ganadero","normal","moderada","rápido","0 - 1%","clase 4","clase 3","pie de loma","7.0","","190","","franco arcillo arenoso"
